YEAR,DAY,JAN B,JAN E,FEB B,FEB E,MAR B,MAR E,APR B,APR E,MAY B,MAY E,JUNE B,JUNE E,JULY B,JULY E,AUG B,AUG E,SEP B,SEP E,OCT B,OCT E,NOV B,NOV E,DEC B,DEC E
2014,1,650,1730,641,1800,611,1827,526,1855,445,1923,419,1950,421,2000,444,1941,511,1901,536,1816,603,1736,632,1719
2014,2,650,1731,640,1801,610,1828,525,1856,444,1924,419,1951,422,2000,445,1940,512,1859,537,1814,604,1735,633,1719
2014,3,651,1732,640,1802,608,1829,523,1857,443,1925,418,1951,422,1959,446,1939,513,1858,538,1813,605,1734,634,1719
2014,4,651,1733,639,1803,607,1830,522,1858,441,1926,418,1952,423,1959,447,1938,514,1856,539,1811,606,1733,635,1719
2014,5,651,1734,638,1804,606,1831,520,1859,440,1927,418,1953,423,1959,448,1937,515,1855,539,1810,607,1733,635,1719
2014,6,651,1734,637,1805,604,1832,519,1859,439,1928,418,1953,424,1959,448,1936,515,1853,540,1808,608,1732,636,1719
2014,7,651,1735,636,1806,603,1833,517,1900,438,1929,417,1954,424,1958,449,1935,516,1852,541,1807,609,1731,637,1719
2014,8,651,1736,635,1807,602,1833,516,1901,437,1930,417,1954,425,1958,450,1933,517,1850,542,1805,610,1730,638,1719
2014,9,651,1737,634,1808,600,1834,514,1902,436,1930,417,1955,426,1958,451,1932,518,1849,543,1804,611,1729,639,1719
2014,10,651,1738,633,1809,559,1835,513,1903,435,1931,417,1955,426,1957,452,1931,519,1847,544,1803,612,1728,639,1719
2014,11,651,1739,632,1810,557,1836,512,1904,434,1932,417,1956,427,1957,453,1930,520,1846,545,1801,613,1728,640,1720
2014,12,650,1740,631,1811,556,1837,510,1905,433,1933,417,1956,428,1956,454,1929,520,1844,545,1800,614,1727,641,1720
2014,13,650,1741,630,1812,554,1838,509,1906,432,1934,417,1957,428,1956,455,1927,521,1843,546,1759,615,1726,641,1720
2014,14,650,1742,629,1813,553,1839,507,1907,431,1935,417,1957,429,1955,456,1926,522,1841,547,1757,616,1726,642,1720
2014,15,650,1743,628,1814,552,1840,506,1908,430,1936,417,1958,430,1955,456,1925,523,1840,548,1756,617,1725,643,1721
2014,16,650,1744,627,1815,550,1841,504,1909,429,1937,417,1958,431,1954,457,1923,524,1838,549,1755,618,1724,643,1721
2014,17,649,1744,626,1816,549,1842,503,1910,429,1938,417,1958,431,1954,458,1922,525,1837,550,1753,619,1724,644,1721
2014,18,649,1745,625,1817,547,1842,502,1911,428,1939,417,1959,432,1953,459,1921,525,1835,551,1752,620,1723,645,1722
2014,19,649,1746,624,1818,546,1843,500,1911,427,1940,417,1959,433,1952,500,1919,526,1834,552,1751,621,1723,645,1722
2014,20,648,1747,622,1818,544,1844,459,1912,426,1940,417,1959,434,1952,501,1918,527,1832,552,1750,622,1722,646,1723
2014,21,648,1748,621,1819,543,1845,458,1913,425,1941,417,1959,435,1951,502,1917,528,1831,553,1748,623,1722,646,1723
2014,22,647,1749,620,1820,541,1846,456,1914,425,1942,418,1959,435,1950,503,1915,529,1829,554,1747,624,1721,647,1724
2014,23,647,1750,619,1821,540,1847,455,1915,424,1943,418,2000,436,1949,504,1914,529,1827,555,1746,625,1721,647,1724
2014,24,646,1751,618,1822,538,1848,454,1916,423,1944,418,2000,437,1949,504,1913,530,1826,556,1745,626,1721,648,1725
2014,25,646,1752,616,1823,537,1849,452,1917,423,1945,419,2000,438,1948,505,1911,531,1824,557,1744,627,1720,648,1725
2014,26,645,1753,615,1824,535,1850,451,1918,422,1945,419,2000,439,1947,506,1910,532,1823,558,1743,627,1720,649,1726
2014,27,645,1754,614,1825,534,1850,450,1919,422,1946,419,2000,440,1946,507,1908,533,1821,559,1741,628,1720,649,1727
2014,28,644,1755,612,1826,532,1851,449,1920,421,1947,420,2000,440,1945,508,1907,534,1820,600,1740,629,1720,649,1727
2014,29,643,1757,,,531,1852,447,1921,421,1948,420,2000,441,1944,509,1905,534,1818,601,1739,630,1719,649,1728
2014,30,643,1758,,,529,1853,446,1922,420,1949,421,2000,442,1943,510,1904,535,1817,602,1738,631,1719,650,1729
2014,31,642,1759,,,528,1854,,,420,1949,,,443,1942,510,1902,,,603,1737,,,650,1729
2015,1,650,1730,641,1759,611,1827,527,1855,445,1923,419,1950,421,2000,444,1941,511,1901,536,1816,603,1737,632,1719
2015,2,650,1731,641,1800,610,1828,525,1856,444,1924,419,1950,421,2000,445,1940,512,1900,537,1814,604,1736,633,1719
2015,3,651,1732,640,1801,609,1829,524,1857,443,1925,419,1951,422,1959,446,1939,513,1858,538,1813,605,1735,633,1719
2015,4,651,1732,639,1802,607,1830,522,1857,442,1925,418,1952,422,1959,446,1938,514,1857,538,1811,606,1734,634,1719
2015,5,651,1733,638,1803,606,1830,521,1858,441,1926,418,1952,423,1959,447,1937,514,1855,539,1810,607,1733,635,1719
2015,6,651,1734,637,1804,605,1831,519,1859,440,1927,418,1953,424,1959,448,1936,515,1854,540,1809,608,1732,636,1719
2015,7,651,1735,636,1805,603,1832,518,1900,438,1928,417,1954,424,1958,449,1935,516,1852,541,1807,609,1731,637,1719
2015,8,651,1736,635,1806,602,1833,516,1901,437,1929,417,1954,425,1958,450,1934,517,1851,542,1806,610,1730,638,1719
2015,9,651,1737,634,1807,600,1834,515,1902,436,1930,417,1955,425,1958,451,1933,518,1849,543,1804,611,1729,638,1719
2015,10,651,1738,633,1808,559,1835,513,1903,435,1931,417,1955,426,1957,452,1931,519,1848,543,1803,612,1729,639,1719
2015,11,651,1739,633,1809,558,1836,512,1904,434,1932,417,1956,427,1957,453,1930,519,1846,544,1802,613,1728,640,1720
2015,12,650,1739,631,1810,556,1837,510,1905,433,1933,417,1956,427,1956,454,1929,520,1845,545,1800,614,1727,641,1720
2015,13,650,1740,630,1811,555,1838,509,1906,432,1934,417,1957,428,1956,454,1928,521,1843,546,1759,615,1726,641,1720
2015,14,650,1741,629,1812,553,1839,508,1907,431,1935,417,1957,429,1955,455,1926,522,1842,547,1758,616,1726,642,1720
2015,15,650,1742,628,1813,552,1840,506,1908,431,1936,417,1957,430,1955,456,1925,523,1840,548,1756,617,1725,643,1721
2015,16,650,1743,627,1814,550,1840,505,1908,430,1937,417,1958,430,1954,457,1924,524,1839,549,1755,618,1725,643,1721
2015,17,649,1744,626,1815,549,1841,503,1909,429,1938,417,1958,431,1954,458,1922,524,1837,550,1754,619,1724,644,1721
2015,18,649,1745,625,1816,548,1842,502,1910,428,1938,417,1958,432,1953,459,1921,525,1835,550,1752,620,1723,645,1722
2015,19,649,1746,624,1817,546,1843,501,1911,427,1939,417,1959,433,1952,500,1920,526,1834,551,1751,621,1723,645,1722
2015,20,648,1747,623,1818,545,1844,459,1912,426,1940,417,1959,434,1952,501,1918,527,1832,552,1750,622,1722,646,1723
2015,21,648,1748,621,1819,543,1845,458,1913,426,1941,417,1959,434,1951,502,1917,528,1831,553,1749,623,1722,646,1723
2015,22,647,1749,620,1820,542,1846,457,1914,425,1942,418,1959,435,1950,502,1916,528,1829,554,1748,623,1722,647,1724
2015,23,647,1750,619,1821,540,1847,455,1915,424,1943,418,2000,436,1950,503,1914,529,1828,555,1746,624,1721,647,1724
2015,24,646,1751,618,1822,539,1848,454,1916,424,1944,418,2000,437,1949,504,1913,530,1826,556,1745,625,1721,648,1725
2015,25,646,1752,617,1823,537,1849,453,1917,423,1944,419,2000,438,1948,505,1911,531,1825,557,1744,626,1720,648,1725
2015,26,645,1753,615,1824,536,1849,451,1918,422,1945,419,2000,439,1947,506,1910,532,1823,558,1743,627,1720,648,1726
2015,27,645,1754,614,1825,534,1850,450,1919,422,1946,419,2000,439,1946,507,1909,533,1822,559,1742,628,1720,649,1726
2015,28,644,1755,613,1826,533,1851,449,1920,421,1947,420,2000,440,1945,508,1907,533,1820,559,1741,629,1720,649,1727
2015,29,643,1756,,,531,1852,448,1921,421,1948,420,2000,441,1944,508,1906,534,1819,600,1740,630,1719,649,1728
2015,30,643,1757,,,530,1853,446,1922,420,1948,420,2000,442,1943,509,1904,535,1817,601,1739,631,1719,650,1728
